customer_id,signup_date,city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,skin_type,marketing_consent,snapshot_date,churn_next_60d,split,pre_snapshot_orders,pre_snapshot_spend,avg_order_value,avg_discount,return_rate,returned_orders,avg_rating,categories_bought,last_order_date,recency_days,ticket_count,negative_ticket_rate,avg_resolution_hours,reopened_rate,snapshot_date_web,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,snapshot_date_campaign,last_campaign_received,last_campaign_cost,manual_priority_bucket,loyalty_status,skin_status,days_since_signup
CUST00015,2024-11-15,Tier 2,25-34,Google Search,Gold,Hair Care,Dry,Yes,2025-09-30,0,train,4,4200.93,1050.2325,0.3025,0.0,0,4.25,3,2025-08-26,35,0.0,0.0,0.0,0.0,2025-09-30,6,23,2,0,1,0,0,11,2025-09-30,none,12,low,Gold,Dry,319
CUST00016,2024-08-13,Tier 2,18-24,Instagram,,Skin Care,Sensitive,Yes,2025-09-30,1,test,1,478.02,478.02,0.22,0.0,0,1.0,1,2025-02-27,215,1.0,0.0,6.4,0.0,2025-09-30,2,8,1,0,0,4,1,32,2025-09-30,welcome_offer,0,high,Not enrolled,Sensitive,413
CUST00017,2024-05-15,Tier 3,35-44,Referral,,Hair Care,Combination,Yes,2025-09-30,1,train,3,1699.1399999999999,566.38,0.26666666666666666,0.0,0,5.0,3,2024-12-18,286,0.0,0.0,0.0,0.0,2025-09-30,4,23,1,1,0,9,4,47,2025-09-30,bundle_discount,0,high,Not enrolled,Combination,503
CUST00018,2025-04-23,Tier 1,35-44,Marketplace,Silver,Skin Care,,Yes,2025-09-30,1,test,1,329.21,329.21,0.36,0.0,0,4.0,1,2025-06-11,111,0.0,0.0,0.0,0.0,2025-09-30,3,8,1,0,0,4,2,37,2025-09-30,new_launch,18,high,Silver,Missing,160
CUST00019,2025-04-04,Tier 1,18-24,Referral,Gold,Skin Care,Normal,Yes,2025-09-30,0,train,2,1598.93,799.465,0.105,0.0,0,4.0,1,2025-09-21,9,0.0,0.0,0.0,0.0,2025-09-30,5,27,2,0,1,3,1,0,2025-09-30,free_shipping,40,low,Gold,Normal,179
CUST00020,2024-04-05,Tier 3,45+,Instagram,,Skin Care,Combination,No,2025-09-30,1,train,3,4487.950000000001,1495.9833333333336,0.13,0.0,0,4.333333333333333,3,2024-09-27,368,1.0,1.0,28.9,0.0,2025-09-30,0,0,0,0,0,0,0,60,2025-09-30,welcome_offer,12,high,Not enrolled,Combination,543
CUST00021,2025-04-10,Tier 2,25-34,Marketplace,Silver,Makeup,Combination,Yes,2025-09-30,1,train,2,1059.3,529.65,0.435,0.0,0,4.0,2,2025-07-15,77,1.0,1.0,20.1,0.0,2025-09-30,3,14,1,1,0,2,0,18,2025-09-30,new_launch,0,high,Silver,Combination,173
CUST00022,2025-07-09,Tier 1,18-24,Instagram,,Wellness,Normal,Yes,2025-09-30,0,train,1,454.06,454.06,0.31,0.0,0,5.0,1,2025-09-01,29,0.0,0.0,0.0,0.0,2025-09-30,10,33,5,1,2,4,1,0,2025-09-30,welcome_offer,18,low,Not enrolled,Normal,83
CUST00023,2025-09-01,Tier 3,18-24,Google Search,Gold,Baby Care,Normal,Yes,2025-09-30,0,train,1,400.98,400.98,0.25,0.0,0,3.0,1,2025-09-09,21,0.0,0.0,0.0,0.0,2025-09-30,3,15,1,1,1,4,1,7,2025-09-30,welcome_offer,12,low,Gold,Normal,29
CUST00024,2025-06-19,Tier 1,25-34,Marketplace,,Skin Care,Dry,Yes,2025-09-30,0,test,1,481.35,481.35,0.34,0.0,0,5.0,1,2025-09-26,4,0.0,0.0,0.0,0.0,2025-09-30,13,71,3,2,2,3,0,0,2025-09-30,new_launch,12,low,Not enrolled,Dry,103
CUST00025,2024-03-15,Tier 2,18-24,Referral,,Baby Care,Normal,Yes,2025-09-30,1,test,7,4868.86,695.5514285714286,0.31142857142857144,0.0,0,4.285714285714286,4,2025-04-18,165,3.0,0.6666666666666666,18.0,0.3333333333333333,2025-09-30,11,54,2,3,1,6,1,29,2025-09-30,new_launch,12,high,Not enrolled,Normal,564
CUST00026,2025-01-13,Tier 2,25-34,Referral,,Wellness,,Yes,2025-09-30,0,train,3,3561.3900000000003,1187.13,0.16333333333333333,0.3333333333333333,1,3.0,2,2025-07-20,72,1.0,1.0,20.0,0.0,2025-09-30,14,55,3,3,0,1,0,26,2025-09-30,none,25,medium,Not enrolled,Missing,260
CUST00027,2024-04-16,Tier 1,45+,Instagram,,Baby Care,Sensitive,Yes,2025-09-30,0,validation,1,2128.34,2128.34,0.3,1.0,1,1.0,1,2025-07-22,70,1.0,1.0,8.0,0.0,2025-09-30,11,44,3,2,1,5,2,18,2025-09-30,free_shipping,18,medium,Not enrolled,Sensitive,532
CUST00028,2024-09-27,Tier 1,25-34,Influencer,,Baby Care,Sensitive,Yes,2025-09-30,0,train,2,1489.7800000000002,744.8900000000001,0.19,0.0,0,2.5,2,2025-07-09,83,1.0,0.0,1.0,0.0,2025-09-30,1,4,1,0,0,3,0,19,2025-09-30,free_shipping,40,high,Not enrolled,Sensitive,368
CUST00029,2024-06-14,Tier 2,35-44,Referral,,Skin Care,,No,2025-09-30,0,train,8,5252.9,656.6125,0.23374999999999999,0.0,0,4.0,3,2025-09-12,18,0.0,0.0,0.0,0.0,2025-09-30,1,6,0,0,0,0,0,0,2025-09-30,free_shipping,40,low,Not enrolled,Missing,473
CUST00030,2024-05-31,Tier 1,25-34,Google Search,Gold,Wellness,Oily,No,2025-09-30,0,test,6,3435.5899999999997,572.5983333333332,0.34,0.0,0,4.333333333333333,5,2025-09-25,5,2.0,1.0,27.65,0.0,2025-09-30,11,31,2,3,1,0,0,3,2025-09-30,free_shipping,40,medium,Gold,Oily,487
CUST00031,2025-07-27,Tier 1,35-44,Marketplace,,Wellness,Dry,No,2025-09-30,1,train,1,672.95,672.95,0.24,0.0,0,4.0,1,2025-08-12,49,0.0,0.0,0.0,0.0,2025-09-30,6,35,3,0,1,0,0,9,2025-09-30,new_launch,0,medium,Not enrolled,Dry,65
CUST00032,2024-12-06,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,0,test,3,1948.75,649.5833333333334,0.3666666666666667,0.0,0,4.333333333333333,3,2025-08-28,33,0.0,0.0,0.0,0.0,2025-09-30,12,70,4,2,1,0,0,13,2025-09-30,bundle_discount,40,low,Silver,Dry,298
CUST00033,2024-08-15,Tier 3,18-24,Google Search,Gold,Fragrance,Dry,Yes,2025-09-30,0,validation,4,2128.09,532.0225,0.405,0.5,2,3.3333333333333335,4,2025-09-18,12,2.0,1.0,36.349999999999994,0.0,2025-09-30,7,41,2,2,1,3,0,7,2025-09-30,welcome_offer,12,medium,Gold,Dry,411
CUST00034,2024-10-12,Tier 2,25-34,Marketplace,Gold,Hair Care,Oily,Yes,2025-09-30,0,train,6,3353.01,558.835,0.26166666666666666,0.0,0,4.333333333333333,3,2025-08-11,50,3.0,0.3333333333333333,17.099999999999998,0.3333333333333333,2025-09-30,7,30,4,1,2,8,2,0,2025-09-30,welcome_offer,40,medium,Gold,Oily,353
CUST00035,2024-09-28,Tier 2,18-24,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,1,train,3,1369.71,456.57,0.24333333333333332,0.0,0,4.333333333333333,3,2025-05-26,127,0.0,0.0,0.0,0.0,2025-09-30,6,25,2,1,1,8,0,25,2025-09-30,new_launch,18,high,Silver,Normal,367
CUST00036,2025-03-22,Tier 3,18-24,Referral,Silver,Makeup,,Yes,2025-09-30,1,train,4,1737.33,434.3325,0.365,0.25,1,2.75,4,2025-09-03,27,1.0,1.0,27.9,0.0,2025-09-30,0,0,0,0,0,0,0,14,2025-09-30,bundle_discount,18,medium,Silver,Missing,192
CUST00037,2024-11-17,Tier 1,35-44,Influencer,,Makeup,Sensitive,Yes,2025-09-30,0,train,1,435.83,435.83,0.43,0.0,0,3.0,1,2025-06-20,102,0.0,0.0,0.0,0.0,2025-09-30,5,28,2,0,0,3,0,28,2025-09-30,welcome_offer,12,high,Not enrolled,Sensitive,317
CUST00038,2025-01-23,Tier 3,35-44,Marketplace,,Baby Care,Oily,Yes,2025-09-30,0,train,4,2104.61,526.1525,0.355,0.0,0,4.0,4,2025-08-10,51,1.0,0.0,21.9,1.0,2025-09-30,5,23,1,0,0,5,0,14,2025-09-30,bundle_discount,25,medium,Not enrolled,Oily,250
CUST00039,2024-11-25,Tier 2,25-34,Instagram,,Wellness,,Yes,2025-09-30,0,train,3,1598.49,532.83,0.2966666666666667,0.0,0,3.3333333333333335,3,2025-09-15,15,0.0,0.0,0.0,0.0,2025-09-30,6,20,1,1,0,3,1,4,2025-09-30,welcome_offer,12,low,Not enrolled,Missing,309
CUST00040,2024-12-09,Tier 3,18-24,Instagram,,Fragrance,Dry,Yes,2025-09-30,1,train,1,634.73,634.73,0.38,0.0,0,5.0,1,2025-04-29,154,1.0,0.0,33.9,0.0,2025-09-30,1,4,0,0,0,1,0,42,2025-09-30,none,18,high,Not enrolled,Dry,295
CUST00041,2024-03-15,Tier 3,25-34,Referral,Silver,Hair Care,Combination,Yes,2025-09-30,1,train,4,1911.8600000000001,477.96500000000003,0.3475,0.0,0,4.5,3,2025-08-07,54,1.0,1.0,53.0,0.0,2025-09-30,5,19,1,1,0,4,2,22,2025-09-30,free_shipping,18,medium,Silver,Combination,564
CUST00042,2024-04-19,Tier 1,35-44,Organic,Silver,Hair Care,Normal,Yes,2025-09-30,0,train,9,7523.74,835.9711111111111,0.21888888888888888,0.2222222222222222,2,3.5555555555555554,5,2025-07-05,87,6.0,0.8333333333333334,12.0,0.3333333333333333,2025-09-30,3,13,1,0,0,7,2,14,2025-09-30,none,12,high,Silver,Normal,529
CUST00043,2025-06-27,Tier 2,45+,Influencer,Gold,Baby Care,,No,2025-09-30,0,test,1,363.01,363.01,0.43,0.0,0,5.0,1,2025-09-06,24,0.0,0.0,0.0,0.0,2025-09-30,3,16,0,0,0,0,0,0,2025-09-30,welcome_offer,18,low,Gold,Missing,95
CUST00044,2024-06-11,Tier 2,35-44,Google Search,,Baby Care,Normal,Yes,2025-09-30,0,test,3,2724.09,908.0300000000001,0.38666666666666666,0.0,0,4.666666666666667,2,2025-07-20,72,1.0,1.0,46.7,1.0,2025-09-30,6,27,2,1,1,4,2,10,2025-09-30,welcome_offer,18,medium,Not enrolled,Normal,476
CUST00045,2024-08-28,Tier 1,25-34,Referral,,Skin Care,,Yes,2025-09-30,1,train,1,413.75,413.75,0.33,0.0,0,4.0,1,2025-06-26,96,0.0,0.0,0.0,0.0,2025-09-30,6,16,1,1,0,3,1,10,2025-09-30,welcome_offer,25,high,Not enrolled,Missing,398
CUST00046,2025-04-22,Tier 1,25-34,Referral,Gold,Baby Care,,Yes,2025-09-30,1,train,1,489.87,489.87,0.13,0.0,0,3.0,1,2025-05-26,127,0.0,0.0,0.0,0.0,2025-09-30,7,31,4,2,1,10,0,29,2025-09-30,new_launch,40,high,Gold,Missing,161
CUST00047,2024-12-26,Tier 1,25-34,Organic,Gold,Baby Care,,Yes,2025-09-30,1,train,1,764.43,764.43,0.16,0.0,0,3.0,1,2025-03-10,204,0.0,0.0,0.0,0.0,2025-09-30,2,9,1,0,0,3,1,36,2025-09-30,free_shipping,0,high,Gold,Missing,278
CUST00048,2025-03-22,Tier 1,25-34,Marketplace,Silver,Makeup,Combination,No,2025-09-30,0,validation,4,2450.45,612.6125,0.3125,0.25,1,3.25,3,2025-07-31,61,1.0,1.0,30.0,0.0,2025-09-30,12,38,2,2,1,0,0,12,2025-09-30,none,25,medium,Silver,Combination,192
CUST00049,2025-08-29,Tier 1,25-34,Marketplace,,Hair Care,Oily,Yes,2025-09-30,0,train,1,380.83,380.83,0.47,0.0,0,5.0,1,2025-09-22,8,0.0,0.0,0.0,0.0,2025-09-30,4,13,1,1,1,3,1,0,2025-09-30,new_launch,0,low,Not enrolled,Oily,32
CUST00050,2025-01-23,Tier 3,25-34,Referral,Gold,Hair Care,,Yes,2025-09-30,0,train,3,2466.39,822.13,0.3333333333333333,0.3333333333333333,1,3.0,3,2025-09-30,0,1.0,1.0,57.7,0.0,2025-09-30,3,12,1,1,0,3,1,0,2025-09-30,bundle_discount,18,low,Gold,Missing,250
CUST00051,2024-02-11,Tier 3,35-44,Instagram,,Skin Care,Dry,Yes,2025-09-30,1,train,4,4444.3,1111.075,0.3525,0.0,0,4.0,3,2025-03-04,210,2.0,1.0,42.2,0.0,2025-09-30,6,32,2,1,1,8,2,35,2025-09-30,new_launch,25,high,Not enrolled,Dry,597
CUST00052,2024-09-19,Tier 1,35-44,Marketplace,Silver,Skin Care,Dry,No,2025-09-30,1,train,3,2807.14,935.7133333333333,0.21,0.3333333333333333,1,3.6666666666666665,2,2025-08-06,55,1.0,1.0,18.7,0.0,2025-09-30,7,34,2,1,1,0,0,8,2025-09-30,free_shipping,0,medium,Silver,Dry,376
CUST00053,2025-01-19,Tier 2,25-34,Instagram,Silver,Baby Care,Oily,Yes,2025-09-30,0,validation,4,4192.59,1048.1475,0.395,0.0,0,4.25,3,2025-09-05,25,2.0,1.0,47.150000000000006,0.5,2025-09-30,9,29,2,2,1,3,1,5,2025-09-30,welcome_offer,0,medium,Silver,Oily,254
CUST00054,2025-08-02,Tier 1,35-44,Referral,,Hair Care,Sensitive,Yes,2025-09-30,0,train,1,489.85,489.85,0.25,0.0,0,5.0,1,2025-09-24,6,0.0,0.0,0.0,0.0,2025-09-30,3,12,1,0,0,0,0,0,2025-09-30,welcome_offer,18,low,Not enrolled,Sensitive,59
CUST00055,2025-01-05,Tier 3,25-34,Marketplace,,Makeup,,Yes,2025-09-30,0,train,3,1308.35,436.1166666666666,0.24666666666666667,0.0,0,4.0,2,2025-09-27,3,1.0,1.0,46.3,0.0,2025-09-30,6,32,2,1,1,7,2,0,2025-09-30,new_launch,12,low,Not enrolled,Missing,268
CUST00056,2025-03-22,Tier 2,35-44,Google Search,,Wellness,Sensitive,No,2025-09-30,0,validation,4,3530.41,882.6025,0.28500000000000003,0.0,0,3.5,3,2025-09-21,9,1.0,1.0,19.9,0.0,2025-09-30,3,15,1,1,1,0,0,0,2025-09-30,new_launch,12,medium,Not enrolled,Sensitive,192
CUST00057,2025-01-23,Tier 2,25-34,Google Search,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2,2510.83,1255.415,0.245,0.0,0,4.0,2,2025-05-17,136,0.0,0.0,0.0,0.0,2025-09-30,7,21,1,0,0,9,1,29,2025-09-30,none,25,high,Not enrolled,Sensitive,250
CUST00058,2024-01-11,Tier 1,25-34,Google Search,,Baby Care,Dry,Yes,2025-09-30,0,test,4,2451.54,612.885,0.23249999999999998,0.0,0,3.75,3,2025-08-19,42,0.0,0.0,0.0,0.0,2025-09-30,2,6,1,0,0,8,4,6,2025-09-30,new_launch,25,medium,Not enrolled,Dry,628
CUST00059,2024-04-05,Tier 1,25-34,Google Search,Silver,Hair Care,Normal,Yes,2025-09-30,0,test,3,2852.63,950.8766666666667,0.32666666666666666,0.0,0,4.333333333333333,2,2025-09-28,2,0.0,0.0,0.0,0.0,2025-09-30,3,11,1,0,0,0,0,2,2025-09-30,new_launch,18,low,Silver,Normal,543
CUST00060,2025-04-09,Tier 1,25-34,Instagram,,Skin Care,Normal,No,2025-09-30,1,train,1,293.22,293.22,0.36,0.0,0,5.0,1,2025-05-08,145,0.0,0.0,0.0,0.0,2025-09-30,5,26,2,1,0,0,0,20,2025-09-30,none,12,high,Not enrolled,Normal,174
CUST00061,2024-10-10,Tier 3,35-44,Referral,,Skin Care,Dry,Yes,2025-09-30,0,train,4,1966.0900000000001,491.52250000000004,0.41,0.0,0,4.75,4,2025-09-16,14,1.0,1.0,23.6,0.0,2025-09-30,4,19,2,0,1,2,1,15,2025-09-30,welcome_offer,18,medium,Not enrolled,Dry,355
CUST00062,2024-05-09,Tier 3,25-34,Referral,Silver,Skin Care,Combination,Yes,2025-09-30,0,train,4,2805.19,701.2975,0.2525,0.0,0,4.5,3,2025-09-09,21,1.0,1.0,12.6,0.0,2025-09-30,9,30,3,2,1,7,1,0,2025-09-30,welcome_offer,12,low,Silver,Combination,509
CUST00063,2024-12-14,Tier 1,18-24,Influencer,,Fragrance,Combination,Yes,2025-09-30,1,train,1,397.69,397.69,0.22,0.0,0,5.0,1,2025-02-26,216,1.0,1.0,19.1,0.0,2025-09-30,0,0,0,0,0,3,0,24,2025-09-30,bundle_discount,0,high,Not enrolled,Combination,290
CUST00064,2025-07-30,Tier 1,45+,Google Search,,Hair Care,Normal,No,2025-09-30,0,test,1,654.93,654.93,0.43,0.0,0,4.0,1,2025-09-28,2,0.0,0.0,0.0,0.0,2025-09-30,8,42,4,1,3,0,0,0,2025-09-30,free_shipping,25,low,Not enrolled,Normal,62
CUST00065,2025-03-29,Tier 2,25-34,Referral,,Skin Care,,Yes,2025-09-30,0,train,1,1911.67,1911.67,0.0,0.0,0,5.0,1,2025-09-24,6,0.0,0.0,0.0,0.0,2025-09-30,3,18,0,1,0,4,2,0,2025-09-30,bundle_discount,40,low,Not enrolled,Missing,185
CUST00066,2024-03-24,Tier 1,18-24,Instagram,,Hair Care,Normal,Yes,2025-09-30,1,train,5,4598.95,919.79,0.292,0.0,0,3.4,5,2024-11-14,320,1.0,1.0,23.9,0.0,2025-09-30,11,35,2,2,1,5,1,60,2025-09-30,bundle_discount,40,high,Not enrolled,Normal,555
CUST00067,2025-04-09,Tier 1,18-24,Google Search,Silver,Baby Care,Dry,Yes,2025-09-30,1,test,2,1246.44,623.22,0.19999999999999998,0.5,1,2.5,2,2025-07-29,63,1.0,1.0,16.4,0.0,2025-09-30,1,3,0,0,0,4,2,5,2025-09-30,welcome_offer,40,medium,Silver,Dry,174
CUST00068,2024-05-25,Tier 1,18-24,Google Search,Silver,Baby Care,Sensitive,Yes,2025-09-30,1,train,3,2123.66,707.8866666666667,0.24333333333333332,0.3333333333333333,1,4.333333333333333,3,2024-10-19,346,1.0,1.0,23.7,0.0,2025-09-30,5,18,0,1,0,3,1,60,2025-09-30,bundle_discount,25,high,Silver,Sensitive,493
CUST00069,2024-10-05,Tier 2,25-34,Instagram,,Hair Care,Sensitive,Yes,2025-09-30,1,train,2,874.47,437.235,0.225,0.0,0,5.0,2,2025-09-01,29,0.0,0.0,0.0,0.0,2025-09-30,9,48,1,2,0,7,1,0,2025-09-30,bundle_discount,12,low,Not enrolled,Sensitive,360
CUST00070,2025-08-12,Tier 1,25-34,Organic,Gold,Baby Care,Dry,Yes,2025-09-30,1,train,1,542.98,542.98,0.34,0.0,0,2.0,1,2025-08-23,38,0.0,0.0,0.0,0.0,2025-09-30,1,4,0,0,0,1,0,18,2025-09-30,none,18,high,Gold,Dry,49
CUST00071,2025-08-22,Tier 3,25-34,Influencer,,Hair Care,Sensitive,Yes,2025-09-30,1,train,1,2062.5,2062.5,0.08,0.0,0,4.0,1,2025-08-29,32,1.0,1.0,33.0,0.0,2025-09-30,1,3,0,0,0,6,2,12,2025-09-30,free_shipping,25,high,Not enrolled,Sensitive,39
CUST00072,2024-10-22,Tier 1,35-44,Organic,,Skin Care,Sensitive,Yes,2025-09-30,1,train,4,2587.02,646.755,0.1925,0.0,0,3.5,3,2025-07-02,90,0.0,0.0,0.0,0.0,2025-09-30,7,26,3,2,2,5,1,26,2025-09-30,none,18,high,Not enrolled,Sensitive,343
CUST00073,2024-01-02,Tier 2,25-34,Google Search,,Hair Care,Combination,Yes,2025-09-30,0,train,5,4077.07,815.414,0.154,0.0,0,3.6,3,2025-09-22,8,0.0,0.0,0.0,0.0,2025-09-30,7,35,1,0,0,4,1,0,2025-09-30,none,12,low,Not enrolled,Combination,637
CUST00074,2024-10-21,Tier 2,25-34,Instagram,Platinum,Baby Care,Dry,Yes,2025-09-30,0,train,4,2523.65,630.9125,0.39,0.25,1,3.5,4,2025-09-23,7,1.0,1.0,29.3,0.0,2025-09-30,14,51,3,2,1,2,1,22,2025-09-30,new_launch,40,medium,Platinum,Dry,344
CUST00075,2024-08-18,Tier 3,45+,Referral,,Fragrance,Combination,No,2025-09-30,0,train,9,6791.61,754.6233333333333,0.3011111111111111,0.0,0,4.0,5,2025-09-27,3,4.0,1.0,27.125,0.25,2025-09-30,10,43,2,1,1,0,0,13,2025-09-30,none,40,low,Not enrolled,Combination,408
CUST00076,2025-05-09,Tier 1,45+,Referral,,Wellness,Normal,No,2025-09-30,0,train,2,1385.27,692.635,0.22000000000000003,0.0,0,5.0,1,2025-09-10,20,0.0,0.0,0.0,0.0,2025-09-30,17,78,7,5,4,0,0,8,2025-09-30,bundle_discount,40,low,Not enrolled,Normal,144
CUST00077,2025-02-28,Tier 3,25-34,Google Search,,Makeup,Normal,Yes,2025-09-30,1,validation,1,394.32,394.32,0.36,0.0,0,4.0,1,2025-06-13,109,0.0,0.0,0.0,0.0,2025-09-30,0,0,0,0,0,0,0,20,2025-09-30,welcome_offer,25,high,Not enrolled,Normal,214
CUST00078,2025-05-10,Tier 2,25-34,Referral,,Hair Care,Dry,No,2025-09-30,1,train,1,894.45,894.45,0.42,1.0,1,1.0,1,2025-05-14,139,1.0,1.0,25.7,1.0,2025-09-30,5,13,1,1,0,0,0,38,2025-09-30,welcome_offer,0,high,Not enrolled,Dry,143
CUST00079,2025-02-24,Tier 2,18-24,Marketplace,Silver,Hair Care,,No,2025-09-30,1,train,1,619.57,619.57,0.05,0.0,0,1.0,1,2025-03-23,191,0.0,0.0,0.0,0.0,2025-09-30,2,8,0,0,0,0,0,31,2025-09-30,none,18,high,Silver,Missing,218
CUST00080,2024-05-09,Tier 2,25-34,Organic,Gold,Hair Care,Normal,No,2025-09-30,0,train,3,2563.41,854.4699999999999,0.18999999999999997,0.0,0,2.6666666666666665,3,2025-08-11,50,0.0,0.0,0.0,0.0,2025-09-30,11,31,4,1,2,0,0,3,2025-09-30,none,0,medium,Gold,Normal,509
CUST00081,2024-06-07,Tier 3,18-24,Google Search,Silver,Hair Care,Oily,No,2025-09-30,0,train,8,5311.16,663.895,0.16,0.25,2,3.625,4,2025-09-11,19,3.0,1.0,17.333333333333332,0.3333333333333333,2025-09-30,12,63,4,2,1,0,0,0,2025-09-30,bundle_discount,12,low,Silver,Oily,480
CUST00082,2024-11-20,Tier 3,25-34,Referral,,Baby Care,Dry,Yes,2025-09-30,1,test,3,1671.25,557.0833333333334,0.17,0.0,0,2.0,2,2025-01-19,254,0.0,0.0,0.0,0.0,2025-09-30,7,35,2,1,1,7,3,44,2025-09-30,none,18,high,Not enrolled,Dry,314
